frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.checksum,udp.srcport,udp.dstport,udp.length,udp.checksum,quic
1,1644570361.132745000,42,42,1c:3b:f3:ae:c6:f0,ff:ff:ff:ff:ff:ff,,,,,,,,,,,,,,,,,,,,,,,,,
1,1644570361.664174000,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x58ed,0x00,0,0,0,0,64,17,0x1aaf,192.168.0.103,142.250.183.10,61,0x00,,,,,51876,443,41,0xfdc4,
1,1644570361.664648000,1292,1292,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa385,0x00,0,0,0,0,64,17,0x3e9c,192.168.0.103,142.250.67.196,1278,0x00,,,,,55366,443,1258,0x16bf,quic
1,1644570361.665069000,1292,1292,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa432,0x00,0,0,0,0,64,17,0x3def,192.168.0.103,142.250.67.196,1278,0x00,,,,,55175,443,1258,0xf2d0,quic
1,1644570361.709253000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xa921,142.250.67.196,192.168.0.103,1278,0x00,,,,,443,55366,1258,0x6323,quic
1,1644570361.710196000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xa7a1,142.250.67.196,192.168.0.103,1278,0x80,,,,,443,55175,1258,0xcc50,quic
1,1644570361.710457000,1292,1292,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xce32,0x00,0,0,0,0,64,17,0x13ef,192.168.0.103,142.250.67.196,1278,0x00,,,,,55366,443,1258,0xbffd,quic
1,1644570361.711418000,1292,1292,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xc78a,0x00,0,0,0,0,64,17,0x1a97,192.168.0.103,142.250.67.196,1278,0x00,,,,,55175,443,1258,0xdf75,quic
1,1644570361.722291000,441,441,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x4a68,0x40,0,1,0,0,110,6,0x9acf,20.50.80.210,192.168.0.103,427,0x02,443,62444,20,0xbf26,,,,,
1,1644570361.722353000,54,54,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x0000,0x40,0,1,0,0,64,6,0x14bd,192.168.0.103,20.50.80.210,40,0x00,62444,443,20,0x1546,,,,,
1,1644570361.723108000,85,85,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x0000,0x40,0,1,0,0,64,6,0x149c,192.168.0.103,20.50.80.210,71,0x02,62444,443,20,0x7ebd,,,,,
1,1644570361.723111000,54,54,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x0000,0x40,0,1,0,0,64,6,0x14bd,192.168.0.103,20.50.80.210,40,0x00,62444,443,20,0x151f,,,,,
1,1644570361.726793000,67,67,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x3aa4,142.250.183.10,192.168.0.103,53,0x00,,,,,443,51876,33,0x05fc,
1,1644570361.770228000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xa921,142.250.67.196,192.168.0.103,1278,0x00,,,,,443,55366,1258,0x3e64,quic
1,1644570361.770229000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xa921,142.250.67.196,192.168.0.103,1278,0x00,,,,,443,55366,1258,0x4a4f,quic
1,1644570361.770231000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xa921,142.250.67.196,192.168.0.103,1278,0x00,,,,,443,55366,1258,0xad19,quic
1,1644570361.770232000,669,669,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xab90,142.250.67.196,192.168.0.103,655,0x00,,,,,443,55366,635,0x20e1,quic
1,1644570361.770679000,83,83,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x7986,0x00,0,0,0,0,64,17,0x6d54,192.168.0.103,142.250.67.196,69,0x00,,,,,55366,443,49,0x5bf8,quic
1,1644570361.771134000,83,83,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x7127,0x00,0,0,0,0,64,17,0x75b3,192.168.0.103,142.250.67.196,69,0x00,,,,,55366,443,49,0xfed5,quic
1,1644570361.771899000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xa7a1,142.250.67.196,192.168.0.103,1278,0x80,,,,,443,55175,1258,0x6804,quic
1,1644570361.771900000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xa7a1,142.250.67.196,192.168.0.103,1278,0x80,,,,,443,55175,1258,0x9f61,quic
1,1644570361.771901000,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xa7a1,142.250.67.196,192.168.0.103,1278,0x80,,,,,443,55175,1258,0x2e34,quic
1,1644570361.771902000,682,682,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xaa03,142.250.67.196,192.168.0.103,668,0x80,,,,,443,55175,648,0xc6cc,quic
1,1644570361.772166000,83,83,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xdb38,0x00,0,0,0,0,64,17,0x0ba2,192.168.0.103,142.250.67.196,69,0x00,,,,,55175,443,49,0x2bd3,quic
1,1644570361.772488000,83,83,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x06a6,0x00,0,0,0,0,64,17,0xe034,192.168.0.103,142.250.67.196,69,0x00,,,,,55175,443,49,0xa723,quic
1,1644570361.777029000,54,54,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x8e0e,0x00,0,0,0,0,64,6,0x884d,192.168.0.103,216.58.203.42,40,0x00,60834,443,20,0xa146,,,,,
1,1644570361.779256000,125,125,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x68a8,0x00,0,0,0,0,64,17,0x7e08,192.168.0.103,142.250.67.196,111,0x00,,,,,55366,443,91,0x5504,quic
1,1644570361.779421000,113,113,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xf85e,0x00,0,0,0,0,64,17,0xee5d,192.168.0.103,142.250.67.196,99,0x00,,,,,55366,443,79,0xaafe,quic
1,1644570361.779818000,125,125,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xdaca,0x00,0,0,0,0,64,17,0x0be6,192.168.0.103,142.250.67.196,111,0x00,,,,,55175,443,91,0x940b,quic
1,1644570361.779958000,113,113,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x3bb3,0x00,0,0,0,0,64,17,0xab09,192.168.0.103,142.250.67.196,99,0x00,,,,,55175,443,79,0x5ba6,quic
1,1644570361.805327000,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x9c00,0x00,0,0,0,0,64,17,0x4ae2,192.168.0.103,142.250.67.196,61,0x00,,,,,55366,443,41,0x0f1f,quic
1,1644570361.805390000,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa7ee,0x00,0,0,0,0,64,17,0x3ef4,192.168.0.103,142.250.67.196,61,0x00,,,,,55175,443,41,0x9d71,quic
1,1644570361.811832000,66,66,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x784f,0x00,0,0,0,0,121,6,0x6480,216.58.203.42,192.168.0.103,52,0x80,443,60834,32,0xcf10,,,,,
1,1644570361.815477000,665,665,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xaa14,142.250.67.196,192.168.0.103,651,0x80,,,,,443,55175,631,0xefe4,quic
1,1644570361.815477000,147,147,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,58,17,0xac1a,142.250.67.196,192.168.0.103,133,0x80,,,,,443,55175,113,0xba1a,quic
1,1644570361.815778000,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa14c,0x00,0,0,0,0,64,17,0x4596,192.168.0.103,142.250.67.196,61,0x00,,,,,55175,443,41,0xba37,quic
1,1644570361.820404000,665,665,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xab94,142.250.67.196,192.168.0.103,651,0x00,,,,,443,55366,631,0xf482,quic
1,1644570361.820405000,147,147,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0xad9a,142.250.67.196,192.168.0.103,133,0x00,,,,,443,55366,113,0xe7e2,quic
1,1644570361.820915000,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x05b5,0x00,0,0,0,0,64,17,0xe12d,192.168.0.103,142.250.67.196,61,0x00,,,,,55366,443,41,0x6448,quic
